tag,date,total_works,total_kudos,total_hits,total_words
Top Jinx (League of Legends),2021-12-29,1,429,16037,3924
Top Jayce (League of Legends),2021-12-29,10,21224,229586,46444
Top Ekko (League of Legends),2021-12-29,0,0,0,0
Top Caitlyn (League of Legends),2021-12-29,16,57461,838577,82092
Top Viktor (League of Legends),2021-12-28,7,9923,132543,30870
Top Vi (League of Legends),2021-12-28,10,7252,143395,27959
Top Vander (League of Legends),2021-12-28,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-28,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2021-12-28,2,496,10232,3593
Top Mel Medarda,2021-12-28,1,211,6101,810
Top Jinx (League of Legends),2021-12-28,1,429,16037,3924
Top Jayce (League of Legends),2021-12-28,9,21082,228513,43507
Top Ekko (League of Legends),2021-12-28,0,0,0,0
Top Caitlyn (League of Legends),2021-12-28,16,57461,838577,82092
Top Viktor (League of Legends),2021-12-27,7,9923,132543,30870
Top Vi (League of Legends),2021-12-27,10,7252,143395,27959
Top Vander (League of Legends),2021-12-27,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-27,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2021-12-27,2,496,10232,3593
Top Mel Medarda,2021-12-27,1,211,6101,810
Top Jinx (League of Legends),2021-12-27,1,429,16037,3924
Top Jayce (League of Legends),2021-12-27,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-27,0,0,0,0
Top Caitlyn (League of Legends),2021-12-27,16,57461,838577,82092
Top Viktor (League of Legends),2021-12-26,7,9923,132543,30870
Top Vi (League of Legends),2021-12-26,9,5915,119176,21091
Top Vander (League of Legends),2021-12-26,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-26,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2021-12-26,2,496,10232,3593
Top Mel Medarda,2021-12-26,1,211,6101,810
Top Jinx (League of Legends),2021-12-26,1,429,16037,3924
Top Jayce (League of Legends),2021-12-26,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-26,0,0,0,0
Top Caitlyn (League of Legends),2021-12-26,15,56304,819475,74368
Top Viktor (League of Legends),2021-12-25,7,9923,132543,30870
Top Vi (League of Legends),2021-12-25,8,5785,116828,19120
Top Vander (League of Legends),2021-12-25,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-25,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-25,2,496,10232,3593
Top Mel Medarda,2021-12-25,1,211,6101,810
Top Jinx (League of Legends),2021-12-25,1,429,16037,3924
Top Jayce (League of Legends),2021-12-25,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-25,0,0,0,0
Top Caitlyn (League of Legends),2021-12-25,14,56174,817127,72397
Top Viktor (League of Legends),2021-12-22,7,9923,132543,30870
Top Vi (League of Legends),2021-12-22,8,5785,116828,19120
Top Vander (League of Legends),2021-12-22,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-22,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-22,2,496,10232,3593
Top Mel Medarda,2021-12-22,1,211,6101,810
Top Jinx (League of Legends),2021-12-22,1,429,16037,3924
Top Jayce (League of Legends),2021-12-22,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-22,0,0,0,0
Top Caitlyn (League of Legends),2021-12-22,13,55543,807344,70529
Top Viktor (League of Legends),2021-12-21,7,9923,132543,30870
Top Vi (League of Legends),2021-12-21,7,5266,104479,15312
Top Vander (League of Legends),2021-12-21,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-21,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-21,2,496,10232,3593
Top Mel Medarda,2021-12-21,1,211,6101,810
Top Jinx (League of Legends),2021-12-21,1,429,16037,3924
Top Jayce (League of Legends),2021-12-21,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-21,0,0,0,0
Top Caitlyn (League of Legends),2021-12-21,11,54928,788328,65394
Top Viktor (League of Legends),2021-12-20,7,9923,132543,30870
Top Vi (League of Legends),2021-12-20,7,5266,104479,15312
Top Vander (League of Legends),2021-12-20,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-20,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-20,2,496,10232,3593
Top Mel Medarda,2021-12-20,1,211,6101,810
Top Jinx (League of Legends),2021-12-20,1,429,16037,3924
Top Jayce (League of Legends),2021-12-20,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-20,0,0,0,0
Top Caitlyn (League of Legends),2021-12-20,10,52517,732719,59103
Top Viktor (League of Legends),2021-12-17,7,9923,132543,30870
Top Vi (League of Legends),2021-12-17,7,5266,104479,15312
Top Vander (League of Legends),2021-12-17,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-17,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-17,2,496,10232,3593
Top Mel Medarda,2021-12-17,1,211,6101,810
Top Jinx (League of Legends),2021-12-17,1,429,16037,3924
Top Jayce (League of Legends),2021-12-17,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-17,0,0,0,0
Top Caitlyn (League of Legends),2021-12-17,9,52330,727782,52468
Top Viktor (League of Legends),2021-12-16,7,9923,132543,30870
Top Vi (League of Legends),2021-12-16,6,5081,98057,12285
Top Vander (League of Legends),2021-12-16,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-16,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-16,2,496,10232,3593
Top Mel Medarda,2021-12-16,1,211,6101,810
Top Jinx (League of Legends),2021-12-16,1,429,16037,3924
Top Jayce (League of Legends),2021-12-16,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-16,0,0,0,0
Top Caitlyn (League of Legends),2021-12-16,8,52070,723066,47527
Top Viktor (League of Legends),2021-12-15,7,9923,132543,30870
Top Vi (League of Legends),2021-12-15,6,5081,98057,12285
Top Vander (League of Legends),2021-12-15,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-15,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-15,1,446,8799,1566
Top Mel Medarda,2021-12-15,1,211,6101,810
Top Jinx (League of Legends),2021-12-15,1,429,16037,3924
Top Jayce (League of Legends),2021-12-15,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-15,0,0,0,0
Top Caitlyn (League of Legends),2021-12-15,8,52070,723066,47527
Top Viktor (League of Legends),2021-12-13,6,9712,126442,30060
Top Vi (League of Legends),2021-12-13,5,4543,77254,8449
Top Vander (League of Legends),2021-12-13,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-13,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-13,1,446,8799,1566
Top Mel Medarda,2021-12-13,0,0,0,0
Top Jinx (League of Legends),2021-12-13,1,429,16037,3924
Top Jayce (League of Legends),2021-12-13,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-13,0,0,0,0
Top Caitlyn (League of Legends),2021-12-13,8,52070,723066,47527
Top Viktor (League of Legends),2021-12-12,6,9712,126442,30060
Top Vi (League of Legends),2021-12-12,4,4097,68619,6572
Top Vander (League of Legends),2021-12-12,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-12,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-12,1,446,8799,1566
Top Mel Medarda,2021-12-12,0,0,0,0
Top Jinx (League of Legends),2021-12-12,0,0,0,0
Top Jayce (League of Legends),2021-12-12,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-12,0,0,0,0
Top Caitlyn (League of Legends),2021-12-12,8,52070,723066,47527
Top Viktor (League of Legends),2021-12-11,5,9515,123914,29276
Top Vi (League of Legends),2021-12-11,4,4097,68619,6572
Top Vander (League of Legends),2021-12-11,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-11,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-11,1,446,8799,1566
Top Mel Medarda,2021-12-11,0,0,0,0
Top Jinx (League of Legends),2021-12-11,0,0,0,0
Top Jayce (League of Legends),2021-12-11,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-11,0,0,0,0
Top Caitlyn (League of Legends),2021-12-11,8,52070,723066,47527
Top Viktor (League of Legends),2021-12-09,5,9515,123914,29276
Top Vi (League of Legends),2021-12-09,4,4097,68619,6572
Top Vander (League of Legends),2021-12-09,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-09,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-09,1,446,8799,1566
Top Mel Medarda,2021-12-09,0,0,0,0
Top Jinx (League of Legends),2021-12-09,0,0,0,0
Top Jayce (League of Legends),2021-12-09,8,15728,175888,38739
Top Ekko (League of Legends),2021-12-09,0,0,0,0
Top Caitlyn (League of Legends),2021-12-09,7,49460,678250,39627
Top Viktor (League of Legends),2021-12-08,5,9515,123914,29276
Top Vi (League of Legends),2021-12-08,4,4097,68619,6572
Top Vander (League of Legends),2021-12-08,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-08,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-08,1,446,8799,1566
Top Mel Medarda,2021-12-08,0,0,0,0
Top Jinx (League of Legends),2021-12-08,0,0,0,0
Top Jayce (League of Legends),2021-12-08,7,15333,172757,35984
Top Ekko (League of Legends),2021-12-08,0,0,0,0
Top Caitlyn (League of Legends),2021-12-08,7,49460,678250,39627
Top Viktor (League of Legends),2021-12-07,5,9515,123914,29276
Top Vi (League of Legends),2021-12-07,3,3357,49261,5046
Top Vander (League of Legends),2021-12-07,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-07,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-07,1,446,8799,1566
Top Mel Medarda,2021-12-07,0,0,0,0
Top Jinx (League of Legends),2021-12-07,0,0,0,0
Top Jayce (League of Legends),2021-12-07,7,15333,172757,35984
Top Ekko (League of Legends),2021-12-07,0,0,0,0
Top Caitlyn (League of Legends),2021-12-07,7,49460,678250,39627
Top Viktor (League of Legends),2021-12-03,4,3031,55939,23228
Top Vi (League of Legends),2021-12-03,3,3357,49261,5046
Top Vander (League of Legends),2021-12-03,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-03,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-03,1,446,8799,1566
Top Mel Medarda,2021-12-03,0,0,0,0
Top Jinx (League of Legends),2021-12-03,0,0,0,0
Top Jayce (League of Legends),2021-12-03,7,15333,172757,35984
Top Ekko (League of Legends),2021-12-03,0,0,0,0
Top Caitlyn (League of Legends),2021-12-03,5,37219,483516,13839
Top Viktor (League of Legends),2021-12-02,4,3031,55939,23228
Top Vi (League of Legends),2021-12-02,3,3357,49261,5046
Top Vander (League of Legends),2021-12-02,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-02,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-02,1,446,8799,1566
Top Mel Medarda,2021-12-02,0,0,0,0
Top Jinx (League of Legends),2021-12-02,0,0,0,0
Top Jayce (League of Legends),2021-12-02,6,5650,78218,33682
Top Ekko (League of Legends),2021-12-02,0,0,0,0
Top Caitlyn (League of Legends),2021-12-02,5,37219,483516,13839
Top Viktor (League of Legends),2021-12-01,4,3031,55939,23228
Top Vi (League of Legends),2021-12-01,3,3357,49261,5046
Top Vander (League of Legends),2021-12-01,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-01,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-12-01,1,446,8799,1566
Top Mel Medarda,2021-12-01,0,0,0,0
Top Jinx (League of Legends),2021-12-01,0,0,0,0
Top Jayce (League of Legends),2021-12-01,5,3452,56834,29825
Top Ekko (League of Legends),2021-12-01,0,0,0,0
Top Caitlyn (League of Legends),2021-12-01,5,37219,483516,13839
Top Viktor (League of Legends),2021-11-29,4,3031,55939,23228
Top Vi (League of Legends),2021-11-29,3,3357,49261,5046
Top Vander (League of Legends),2021-11-29,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-29,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-29,0,0,0,0
Top Mel Medarda,2021-11-29,0,0,0,0
Top Jinx (League of Legends),2021-11-29,0,0,0,0
Top Jayce (League of Legends),2021-11-29,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-29,0,0,0,0
Top Caitlyn (League of Legends),2021-11-29,5,37219,483516,13839
Top Viktor (League of Legends),2021-11-28,2,1421,22028,5005
Top Vi (League of Legends),2021-11-28,3,3357,49261,5046
Top Vander (League of Legends),2021-11-28,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-28,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-28,0,0,0,0
Top Mel Medarda,2021-11-28,0,0,0,0
Top Jinx (League of Legends),2021-11-28,0,0,0,0
Top Jayce (League of Legends),2021-11-28,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-28,0,0,0,0
Top Caitlyn (League of Legends),2021-11-28,5,37219,483516,13839
Top Viktor (League of Legends),2021-11-27,2,1421,22028,5005
Top Vi (League of Legends),2021-11-27,2,1628,30721,3386
Top Vander (League of Legends),2021-11-27,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-27,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-27,0,0,0,0
Top Mel Medarda,2021-11-27,0,0,0,0
Top Jinx (League of Legends),2021-11-27,0,0,0,0
Top Jayce (League of Legends),2021-11-27,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-27,0,0,0,0
Top Caitlyn (League of Legends),2021-11-27,4,33478,427259,10806
Top Viktor (League of Legends),2021-11-25,2,1421,22028,5005
Top Vi (League of Legends),2021-11-25,1,368,13323,1331
Top Vander (League of Legends),2021-11-25,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-25,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-25,0,0,0,0
Top Mel Medarda,2021-11-25,0,0,0,0
Top Jinx (League of Legends),2021-11-25,0,0,0,0
Top Jayce (League of Legends),2021-11-25,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-25,0,0,0,0
Top Caitlyn (League of Legends),2021-11-25,3,24866,275446,7601
Top Viktor (League of Legends),2021-11-22,2,1421,22028,5005
Top Vi (League of Legends),2021-11-22,1,368,13323,1331
Top Vander (League of Legends),2021-11-22,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-22,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-22,0,0,0,0
Top Mel Medarda,2021-11-22,0,0,0,0
Top Jinx (League of Legends),2021-11-22,0,0,0,0
Top Jayce (League of Legends),2021-11-22,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-22,0,0,0,0
Top Caitlyn (League of Legends),2021-11-22,2,23743,249206,5132
Top Viktor (League of Legends),2021-11-21,1,862,13907,3835
Top Vi (League of Legends),2021-11-21,1,368,13323,1331
Top Vander (League of Legends),2021-11-21,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-21,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-21,0,0,0,0
Top Mel Medarda,2021-11-21,0,0,0,0
Top Jinx (League of Legends),2021-11-21,0,0,0,0
Top Jayce (League of Legends),2021-11-21,3,3149,51204,26246
Top Ekko (League of Legends),2021-11-21,0,0,0,0
Top Caitlyn (League of Legends),2021-11-21,2,23743,249206,5132
Top Viktor (League of Legends),2021-11-20,1,862,13907,3835
Top Vi (League of Legends),2021-11-20,0,0,0,0
Top Vander (League of Legends),2021-11-20,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-20,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-20,0,0,0,0
Top Mel Medarda,2021-11-20,0,0,0,0
Top Jinx (League of Legends),2021-11-20,0,0,0,0
Top Jayce (League of Legends),2021-11-20,2,1939,37329,6305
Top Ekko (League of Legends),2021-11-20,0,0,0,0
Top Caitlyn (League of Legends),2021-11-20,2,23743,249206,5132
Top Viktor (League of Legends),2021-11-17,1,862,13907,3835
Top Vi (League of Legends),2021-11-17,0,0,0,0
Top Vander (League of Legends),2021-11-17,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-17,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-17,0,0,0,0
Top Mel Medarda,2021-11-17,0,0,0,0
Top Jinx (League of Legends),2021-11-17,0,0,0,0
Top Jayce (League of Legends),2021-11-17,2,1939,37329,6305
Top Ekko (League of Legends),2021-11-17,0,0,0,0
Top Caitlyn (League of Legends),2021-11-17,1,1191,24630,2973
Top Viktor (League of Legends),2021-11-14,1,862,13907,3835
Top Vi (League of Legends),2021-11-14,0,0,0,0
Top Vander (League of Legends),2021-11-14,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-14,1,616,10618,1051
Top Sevika (Arcane: League of Legends),2021-11-14,0,0,0,0
Top Mel Medarda,2021-11-14,0,0,0,0
Top Jinx (League of Legends),2021-11-14,0,0,0,0
Top Jayce (League of Legends),2021-11-14,1,1623,33405,3149
Top Ekko (League of Legends),2021-11-14,0,0,0,0
Top Caitlyn (League of Legends),2021-11-14,1,1191,24630,2973
Top Viktor (League of Legends),2021-11-12,1,862,13907,3835
Top Vi (League of Legends),2021-11-12,0,0,0,0
Top Vander (League of Legends),2021-11-12,0,0,0,0
Top Silco (Arcane: League of Legends),2021-11-12,0,0,0,0
Top Sevika (Arcane: League of Legends),2021-11-12,0,0,0,0
Top Mel Medarda,2021-11-12,0,0,0,0
Top Jinx (League of Legends),2021-11-12,0,0,0,0
Top Jayce (League of Legends),2021-11-12,1,1623,33405,3149
Top Ekko (League of Legends),2021-11-12,0,0,0,0
Top Caitlyn (League of Legends),2021-11-12,1,1191,24630,2973
